Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
CNS,Financial Services,95.6,191144,0.3389811064731202,0.0247,0.0728654179490638
MGY,Energy,25.91,2007807,0.275971019266404,0.02,0.07247137780323715
SSTK,Communication Services,36.05,515458,0.472552484895473,0.0337,0.07131482973252024
HAYN,Industrials,58.96,86063,0.21076263967055286,0.015,0.07117010881742034
EPC,Consumer Defensive,36.68,441119,0.23360253237709205,0.0165,0.07063279593803776
WGO,Consumer Cyclical,59.55,561431,0.3363844372476325,0.0235,0.06986054465623288
NHC,Healthcare,125.75,58538,0.28414110038726276,0.0198,0.0696836887483511
KFY,Industrials,75.61,357292,0.2754026530679479,0.0191,0.0693529992802488
MGEE,Utilities,90.7,138593,0.286360237023955,0.0198,0.06914367792740604
MCRI,Consumer Cyclical,76.65,130752,0.22826889285329205,0.015700001,0.06877853922080553
IBTX,Financial Services,61.0,193988,0.3727868138476881,0.0256,0.06867195686395591
SHOO,Consumer Cyclical,47.89,664084,0.257816623080306,0.0177,0.06865344751058475
WD,Financial Services,111.69,216993,0.35187866811718616,0.0241,0.06848951693762231
SEE,Consumer Cyclical,35.6,1517639,0.3378606585972846,0.023,0.06807540154420587
JJSF,Consumer Defensive,169.46,91339,0.27343973096691265,0.0185,0.06765659084940577
SCHL,Communication Services,32.01,179334,0.37833559378666576,0.0253,0.06687184715236191
RGR,Industrials,42.36,142911,0.27425012239444246,0.0183,0.06672740868891892
SCL,Basic Materials,77.51,126750,0.29501058881529013,0.0196,0.06643829321079661
NUS,Consumer Defensive,7.16,880638,0.4983316762128199,0.0328,0.06581961686495778
AGO,Financial Services,81.14,386226,0.23925173904023886,0.0153,0.06394937843033505
GBX,Industrials,51.36,330260,0.3755709601081224,0.024,0.06390270428014638
STEL,Financial Services,27.38,195066,0.30758762325936284,0.0195,0.0633965690601188
EMBC,Healthcare,15.71,417404,0.6167479865765947,0.0387,0.06274848210662752
AEO,Consumer Cyclical,20.05,4842041,0.40080745543913754,0.0251,0.06262358561294633
BRC,Industrials,74.63,230406,0.21023941320129166,0.012999999,0.06183426219684735
BANC,Financial Services,15.38,2267677,0.4410820706826768,0.0272,0.06166652831275071
RES,Energy,6.55,1915028,0.4080421616710221,0.0251,0.061513251221908045
AL,Industrials,45.89,774980,0.30974899771538955,0.0189,0.061017146590950776
NPK,Industrials,76.42,41749,0.21646484451594078,0.013200001,0.06097988349802424
WERN,Industrials,37.69,922193,0.24544944015541245,0.0149,0.06070496632856727
PHIN,Consumer Cyclical,49.56,730352,0.34990243478264893,0.0209,0.059730936176487545
MCY,Financial Services,60.05,241677,0.360110210673848,0.021300001,0.059148561658784564
PRDO,Consumer Defensive,22.35,443952,0.4012067737069423,0.023699999,0.05907178181720192
CVGW,Consumer Defensive,28.98,259249,0.46967360280848197,0.0277,0.05897712759321324
BANF,Financial Services,110.34,102168,0.2908616578725836,0.0171,0.058790835908289145
MSEX,Utilities,67.38,130298,0.328456639111399,0.019299999,0.05875965561912187
NWL,Consumer Defensive,7.48,5857788,0.6504021843082755,0.0382,0.05873289008189138
ASIX,Basic Materials,29.13,144558,0.3933274339771523,0.0225,0.057204247800591974
MLKN,Consumer Cyclical,27.47,474493,0.4804051540468679,0.0271,0.056410718685495506
ABM,Industrials,51.83,570203,0.3165873679042075,0.0177,0.055908737348470704
FBNC,Financial Services,44.54,201841,0.3668795024153391,0.020399999,0.0556040848989853
SLVM,Basic Materials,82.11,280884,0.40557258510495114,0.0225,0.05547712253326396
MRTN,Industrials,17.74,392071,0.25391605564324576,0.0138,0.054348670331383526
IOSP,Basic Materials,113.96,133960,0.2542742456134196,0.0136,0.05348555834740915
KLIC,Technology,42.64,537246,0.36926704714764,0.0196,0.05307811826535268
AAP,Consumer Cyclical,42.43,2079263,0.4539619067415077,0.0238,0.05242730644699679
CBRL,Consumer Cyclical,41.11,719811,0.4636749059879568,0.0241,0.051976071356826796
PATK,Consumer Cyclical,146.42,196720,0.3060312045158578,0.015700001,0.051301961265150874
LZB,Consumer Cyclical,43.92,527990,0.3629587222139444,0.0186,0.05124549669600256
KELYA,Industrials,21.59,228371,0.27601809170155783,0.014099999,0.05108360438650341
APOG,Industrials,69.53,150926,0.29275647560164214,0.0148,0.050553962878479825
STEP,Financial Services,56.07,847758,0.3424298893850886,0.0173,0.050521290740904994
PRGS,Technology,57.67,379923,0.24289072650260587,0.012200001,0.050228352377500556
SAH,Consumer Cyclical,58.53,183869,0.4260031095425191,0.0212,0.04976489496230788
IDCC,Technology,137.83,441119,0.26781110221675947,0.013300001,0.0496618732005939
WWW,Consumer Cyclical,15.19,1258303,0.544686404309919,0.0269,0.0493862152371519
PSMT,Consumer Defensive,91.1,162726,0.26741381550862103,0.012999999,0.04861378973735521
SNDR,Industrials,28.65,975147,0.28099406778701325,0.0135,0.04804371888104298
TR,Consumer Defensive,31.97,265112,0.2314580355543069,0.0111,0.04795685737769779
ANDE,Consumer Defensive,50.11,165719,0.3243918000485852,0.0155,0.047781725671482804
SM,Energy,41.49,2051657,0.36938451660172134,0.0176,0.04764682656955196
TNC,Industrials,93.9,105804,0.25418703881198046,0.012,0.04720933079863398
FUL,Basic Materials,83.91,324500,0.23372819476850626,0.011,0.04706321379367533
WDFC,Basic Materials,260.65,97263,0.28525290612689713,0.0134000005,0.04697585970969529
DBI,Consumer Cyclical,6.48,2702393,0.6873482057622639,0.0321,0.04670122032893262
WNC,Industrials,19.97,611784,0.34951897181054975,0.0162,0.046349415358148016
PBI,Industrials,7.1,2300988,0.630380679807851,0.028499998,0.045210773288114105
FELE,Industrials,103.9,174252,0.22653023025825147,0.0099,0.04370277639639396
AIN,Consumer Cyclical,88.47,151230,0.27654979833959176,0.012,0.0433918233607406
RUSHA,Consumer Cyclical,53.15,338195,0.326487428318198,0.0139999995,0.04288066947054224
WOR,Industrials,46.55,286739,0.35432828222720925,0.015,0.04233362323129885
SEM,Healthcare,35.36,716917,0.342480797628801,0.014199999,0.04146217568492911
HSII,Industrials,38.85,179882,0.38764281499098774,0.0159,0.04101714099968461
HUBG,Industrials,46.68,444407,0.27224757862630433,0.0111,0.04077171248320343
FBK,Financial Services,49.23,173563,0.34123716031208423,0.0138,0.040441082053838964
ATEN,Technology,13.98,845915,0.43490949394045864,0.0174,0.040008324128197
