Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
NUS,Consumer Defensive,7.65,858751,0.4979239131586609,0.031400003,0.0630618497529251
STEL,Financial Services,26.77,190409,0.30783483817213747,0.0194,0.06302080724583797
PHIN,Consumer Cyclical,45.87,724145,0.3478208591165645,0.0218,0.06267594202190792
AL,Industrials,43.65,764083,0.30933499154767147,0.019199999,0.062068629558971494
BRC,Industrials,74.6,226433,0.21038575544018087,0.0128999995,0.061315935924511136
MSEX,Utilities,64.76,128632,0.32870478828037075,0.0201,0.06114909400971544
EMBC,Healthcare,16.02,415482,0.6164747327174381,0.0375,0.060829743718284986
WERN,Industrials,37.33,931420,0.2467540308561072,0.015,0.0607892805153288
BANF,Financial Services,104.72,95704,0.29116121231432474,0.0176,0.06044761202944787
MCY,Financial Services,58.41,238598,0.3615543740609942,0.0217,0.06001863497394506
NPK,Industrials,76.69,43204,0.21865124318237097,0.012999999,0.05945540858030731
ASIX,Basic Materials,27.44,143343,0.39294185444162905,0.0233,0.05929630487724281
CVGW,Consumer Defensive,29.02,248774,0.4716437093635711,0.0276,0.05851874932720511
PRDO,Consumer Defensive,22.17,445567,0.4021309011906249,0.0235,0.05843868235547542
SLVM,Basic Materials,76.92,285954,0.4089170939507757,0.0234,0.057224313549525584
MLKN,Consumer Cyclical,27.02,472398,0.4863812468918795,0.0278,0.05715680893877025
FBNC,Financial Services,42.43,198338,0.367360582712917,0.0207,0.05634790713563444
CBRL,Consumer Cyclical,39.22,706198,0.4614927735008716,0.0255,0.055255469780290806
ABM,Industrials,51.61,574679,0.3167162637858614,0.0174,0.05493876377553036
NWL,Consumer Defensive,7.83,5836075,0.6517431715237254,0.0358,0.05492961271278432
IOSP,Basic Materials,108.96,133730,0.2552418197022503,0.0139999995,0.05484994393290079
MRTN,Industrials,17.23,393561,0.25344173726224456,0.0139,0.054844952335602125
STEP,Financial Services,51.82,852845,0.34201611280419936,0.0185,0.054091018836270606
KLIC,Technology,40.28,537790,0.36801941245870595,0.0199,0.054073234525999096
PATK,Consumer Cyclical,135.33,202198,0.30431521581807325,0.0163,0.053562882014235265
AAP,Consumer Cyclical,41.43,1966587,0.4561706418329867,0.0241,0.05283110702425146
APOG,Industrials,65.44,150595,0.29131469635242413,0.0153,0.05252052227907685
LZB,Consumer Cyclical,42.55,578601,0.3638317999683412,0.0188,0.05167222876514885
KELYA,Industrials,21.14,229354,0.2768549797531619,0.014199999,0.051290386803446414
DBI,Consumer Cyclical,5.81,2657617,0.683767048648698,0.0344,0.05030953168624223
SAH,Consumer Cyclical,55.96,182722,0.4260117266103911,0.0214,0.05023335899758309
WWW,Consumer Cyclical,14.71,1263946,0.547620894445614,0.0272,0.049669397709041066
PRGS,Technology,57.99,391074,0.24365341170535204,0.0121,0.04966070417529152
SM,Energy,39.16,2067029,0.3719323234222362,0.0184,0.049471365733145485
IDCC,Technology,135.99,444929,0.2682452641409697,0.013200001,0.04920870100827973
ANDE,Consumer Defensive,47.9,167591,0.3245292438982406,0.0159,0.04899404383102561
SNDR,Industrials,27.72,972875,0.2807382750977089,0.0137,0.048799900887158396
PSMT,Consumer Defensive,89.76,162620,0.2674998351881837,0.0128999995,0.04822432690818283
WDFC,Basic Materials,257.43,96608,0.28668240610208934,0.0137,0.047788073869874485
TNC,Industrials,92.48,106779,0.2538504747545493,0.0121,0.047665855309900904
WNC,Industrials,19.33,622366,0.35063971139617756,0.0166,0.04734204216031922
FUL,Basic Materials,80.78,321691,0.23243681083572626,0.011,0.047324689925186604
TR,Consumer Defensive,33.15,266348,0.23078361748321516,0.0109,0.047230388876250085
PBI,Industrials,6.79,2286129,0.6324497491916187,0.0295,0.0466440219759849
FELE,Industrials,97.16,170196,0.22517182012939832,0.010299999,0.045742842039829645
AIN,Consumer Cyclical,85.44,150958,0.2778384664898081,0.012200001,0.04391041008156274
RUSHA,Consumer Cyclical,50.89,339006,0.3258283271425192,0.014099999,0.04327431909820591
WOR,Industrials,45.24,288354,0.3546548819865592,0.015,0.042294638427022906
FBK,Financial Services,46.46,174375,0.3420393724410799,0.014199999,0.04151568545649261
SEM,Healthcare,35.23,718122,0.3424803928274028,0.014199999,0.04146222469195854
HUBG,Industrials,44.78,441990,0.27139804532210887,0.0112,0.04126779906136493
HSII,Industrials,37.5,186272,0.38907044220998654,0.016,0.04112365850542968
KWR,Basic Materials,164.69,107491,0.2891365766565268,0.0117999995,0.04081116141185257
HCI,Financial Services,100.29,128806,0.39251572346800245,0.016,0.04076269826501436
BTU,Energy,22.07,2506903,0.3340133693364952,0.0136,0.04071693305874516
WT,Financial Services,9.55,1663562,0.309900214413263,0.0126,0.04065824873292101
ADEA,Technology,11.96,491213,0.4119028551995476,0.0167,0.040543540277014185
ATEN,Technology,13.55,874562,0.4365983006373031,0.0177,0.040540698335662984
BHE,Technology,42.32,353217,0.40182376403793624,0.0161,0.040067316671893
MLI,Industrials,70.26,750512,0.2886000835508407,0.0114,0.039501028065335744
ZEUS,Basic Materials,38.6,114466,0.39462179685243337,0.0155,0.03927811419346443
BFH,Financial Services,48.1,991137,0.44704061672140144,0.0175,0.03914633110598564
PAHC,Healthcare,21.99,152841,0.562376691517213,0.0218,0.03876405322060321
FWRD,Industrials,35.41,929169,0.7013547031737497,0.0271,0.03863950705309008
LBRT,Energy,19.36,2213004,0.3772721878531787,0.0145000005,0.03843379121718588
MTH,Consumer Cyclical,203.56,426727,0.3847709400946789,0.0147,0.03820454839022624
SFBS,Financial Services,78.35,241901,0.40346977760999964,0.0153,0.037921055923026845
ASTE,Industrials,31.31,155196,0.4503303483240377,0.0166,0.0368618283484092
JBSS,Consumer Defensive,92.81,69470,0.25541179151107507,0.0092,0.03602026337770343
B,Industrials,38.17,338179,0.4696809813262689,0.0168,0.035768959502172605
MATX,Industrials,132.63,290959,0.297516101368225,0.010299999,0.03461997166752351
WSFS,Financial Services,51.97,280227,0.33401210970242634,0.0115,0.03442988941402582
PIPR,Financial Services,267.64,140520,0.2817529437413564,0.0097,0.03442732441831879
WS,Basic Materials,32.81,233988,0.5694604559970362,0.0195,0.034242939601238066
AWI,Industrials,127.09,308272,0.2623992254608931,0.0088,0.03353668435774981
LEG,Consumer Cyclical,12.8,2760454,0.4670793335495485,0.0156,0.03339903712169943
LNN,Industrials,120.41,103950,0.36281839002610794,0.012,0.033074398459065145
VFC,Consumer Cyclical,18.7,7122938,0.598718534053204,0.019299999,0.03223551285333175
SCVL,Consumer Cyclical,41.12,257362,0.4083450519315388,0.013099999,0.03208070953237921
ABCB,Financial Services,61.03,383019,0.31513877187777395,0.0098,0.031097411282039626
MATV,Basic Materials,18.61,384540,0.7263294609598125,0.0215,0.02960089209597624
PJT,Financial Services,124.34,197240,0.273441345471757,0.008,0.029256731406868745
SIG,Consumer Cyclical,91.15,894550,0.4589578256783035,0.0127,0.027671387847522592
NX,Industrials,27.52,626308,0.42370680878067984,0.0116,0.027377421744488463
CNMD,Healthcare,75.4,433014,0.3950130715696183,0.0106,0.02683455501328093
AZZ,Industrials,78.57,248746,0.33800540071788704,0.0087,0.025739233697219446
WHD,Energy,56.38,993314,0.359531611046142,0.0092,0.0255888487057659
UNF,Industrials,189.05,87612,0.28021439469413684,0.0069999998,0.024980871548875027
CEIX,Energy,96.41,449991,0.42405656396810026,0.0104,0.024525030110799893
PRG,Industrials,46.35,520803,0.4259593484414922,0.0104,0.024415475415791928
SXI,Industrials,171.9,50367,0.29228820283462564,0.0069999998,0.023948964522391432
BGC,Financial Services,9.59,2786577,0.35247477030940405,0.0083,0.02354778469027505
HTLD,Industrials,12.11,345166,0.2832384655345391,0.0066000004,0.02330192118342476
NPO,Industrials,153.68,89501,0.33809338669638744,0.0078,0.02307054886880857
GVA,Industrials,76.37,661535,0.3074181355981498,0.0068,0.022119709973418125
GFF,Industrials,66.84,519122,0.4089226020540226,0.009,0.022009054903771284
EVTC,Technology,33.38,484983,0.288348019498822,0.006,0.020808188696522373
MTX,Basic Materials,72.81,166079,0.26760891010383653,0.0055,0.02055237995575675
CNXN,Technology,72.77,97491,0.2703766057423675,0.0055,0.020341996619488444
KOP,Basic Materials,37.06,169675,0.37773488088047097,0.0076,0.020119931689350435
CAL,Consumer Cyclical,31.8,656385,0.43874050874113263,0.0088,0.0200574139489641
ALG,Industrials,178.84,79672,0.2931151952546655,0.0058,0.019787442254437956
ASO,Consumer Cyclical,59.01,1653593,0.37993281492564035,0.0075,0.019740332251816373
LMAT,Healthcare,89.69,131385,0.36986915545160143,0.0070999996,0.01919597645640678
